"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	75	120805	62.1
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	51	112593	45.3
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	22	116291	18.9
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	26	133613	19.5
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	27	121824	22.2
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	41	120785	33.9
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	27	114716	23.5
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Male"	"M"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	14	15095	Unreliable
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	30	125516	23.9
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	74	122133	60.6
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	77	138664	55.5
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	70	128069	54.7
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	87	124041	70.1
	"Maricopa County, AZ"	"04013"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	55	114330	48.1
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	29	118512	24.5
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	20	135254	14.8
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	25	125012	20.0
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	32	122167	26.2
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	25	115899	21.6
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Male"	"M"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	18	11617	Unreliable
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	36	127077	28.3
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	85	123402	68.9
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	101	140910	71.7
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	85	131110	64.8
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	98	125764	77.9
	"Maricopa County, AZ"	"04013"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	75	115853	64.7
	"Pima County, AZ"	"04019"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	12	24206	Unreliable
	"Pima County, AZ"	"04019"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	12	37701	Unreliable
	"Pima County, AZ"	"04019"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	19	29714	Unreliable
	"Pima County, AZ"	"04019"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	20	25933	77.1
	"Pima County, AZ"	"04019"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	11	25689	Unreliable
	"Pima County, AZ"	"04019"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	22	23486	93.7
	"Pima County, AZ"	"04019"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	10	28879	Unreliable
	"Pima County, AZ"	"04019"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	12	37625	Unreliable
	"Pima County, AZ"	"04019"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	17	31324	Unreliable
	"Pima County, AZ"	"04019"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	18	26167	Unreliable
	"Pima County, AZ"	"04019"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	16	26579	Unreliable
	"Pima County, AZ"	"04019"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	15	23850	Unreliable
	"Pima County, AZ"	"04019"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	10	24517	Unreliable
	"Pima County, AZ"	"04019"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	21	37201	56.5
	"Pima County, AZ"	"04019"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	19	31935	Unreliable
	"Pima County, AZ"	"04019"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	25	26694	93.7
	"Pima County, AZ"	"04019"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	19	26748	Unreliable
	"Pima County, AZ"	"04019"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	21	24183	86.8
	"Yavapai County, AZ"	"04025"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	4903	Unreliable
	"Alameda County, CA"	"06001"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	13	35797	Unreliable
	"Alameda County, CA"	"06001"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	13	25373	Unreliable
	"Alameda County, CA"	"06001"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	15	34803	Unreliable
	"Alameda County, CA"	"06001"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	13	34266	Unreliable
	"Alameda County, CA"	"06001"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	11	29207	Unreliable
	"Contra Costa County, CA"	"06013"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	10	26189	Unreliable
	"Contra Costa County, CA"	"06013"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	10	24162	Unreliable
	"Contra Costa County, CA"	"06013"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	10	24548	Unreliable
	"Contra Costa County, CA"	"06013"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	16	24365	Unreliable
	"Fresno County, CA"	"06019"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	10	30899	Unreliable
	"Fresno County, CA"	"06019"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	11	26450	Unreliable
	"Fresno County, CA"	"06019"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	10	23654	Unreliable
	"Kern County, CA"	"06029"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	13	32459	Unreliable
	"Kern County, CA"	"06029"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	29731	Unreliable
	"Kern County, CA"	"06029"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	10	26585	Unreliable
	"Kern County, CA"	"06029"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	11	23877	Unreliable
	"Kern County, CA"	"06029"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	11	32615	Unreliable
	"Kern County, CA"	"06029"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	13	29756	Unreliable
	"Kern County, CA"	"06029"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	15	24348	Unreliable
	"Kern County, CA"	"06029"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	13	28241	Unreliable
	"Kern County, CA"	"06029"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	15	32731	Unreliable
	"Kern County, CA"	"06029"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	15	29681	Unreliable
	"Kern County, CA"	"06029"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	16	27538	Unreliable
	"Kern County, CA"	"06029"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	12	23781	Unreliable
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	20	263496	7.6
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	24	302212	7.9
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	25	267816	9.3
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	26	249253	10.4
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	20	239406	8.4
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	45	269316	16.7
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	84	318604	26.4
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	62	291921	21.2
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	54	266624	20.3
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	53	246687	21.5
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	15	256610	Unreliable
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	19	300539	Unreliable
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	17	269659	Unreliable
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	21	248807	8.4
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	19	234917	Unreliable
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Male"	"M"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	11	26917	Unreliable
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	10	239504	Unreliable
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	32	260515	12.3
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	87	316043	27.5
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	84	293688	28.6
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	73	267501	27.3
	"Los Angeles County, CA"	"06037"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	55	243588	22.6
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Female"	"F"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	16	30537	Unreliable
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	18	249200	Unreliable
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	28	297858	9.4
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	23	272877	8.4
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	20	248420	8.1
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	19	230775	Unreliable
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	10	44191	Unreliable
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	17	38749	Unreliable
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	10	31356	Unreliable
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	15	27251	Unreliable
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"15-19 years"	"15-19"	19	235005	Unreliable
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	80	252380	31.7
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	97	310865	31.2
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	91	296541	30.7
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	87	267367	32.5
	"Los Angeles County, CA"	"06037"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	78	241097	32.4
	"Orange County, CA"	"06059"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	12	85785	Unreliable
	"Orange County, CA"	"06059"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	31	83131	37.3
	"Orange County, CA"	"06059"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	31	93015	33.3
	"Orange County, CA"	"06059"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	33	81264	40.6
	"Orange County, CA"	"06059"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	21	75784	27.7
	"Orange County, CA"	"06059"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	22	71361	30.8
	"Orange County, CA"	"06059"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"20-24 years"	"20-24"	11	78268	Unreliable
	"Orange County, CA"	"06059"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	12	85525	Unreliable
	"Orange County, CA"	"06059"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	10	74179	Unreliable
	"Orange County, CA"	"06059"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	10	72229	Unreliable
	"Orange County, CA"	"06059"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	25	80505	31.1
	"Orange County, CA"	"06059"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	38	92640	41.0
	"Orange County, CA"	"06059"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	20	80733	24.8
	"Orange County, CA"	"06059"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	36	76450	47.1
	"Orange County, CA"	"06059"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	18	70237	Unreliable
	"Orange County, CA"	"06059"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	13	85182	Unreliable
	"Orange County, CA"	"06059"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	11	74368	Unreliable
	"Orange County, CA"	"06059"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	10	71865	Unreliable
	"Orange County, CA"	"06059"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	20	77826	25.7
	"Orange County, CA"	"06059"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	37	91669	40.4
	"Orange County, CA"	"06059"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	37	80741	45.8
	"Orange County, CA"	"06059"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	32	76376	41.9
	"Orange County, CA"	"06059"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	21	69368	30.3
	"Riverside County, CA"	"06065"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	10	64006	Unreliable
	"Riverside County, CA"	"06065"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	11	60134	Unreliable
	"Riverside County, CA"	"06065"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	18	69209	Unreliable
	"Riverside County, CA"	"06065"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	23	72815	31.6
	"Riverside County, CA"	"06065"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	19	67659	Unreliable
	"Riverside County, CA"	"06065"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	24	65538	36.6
	"Riverside County, CA"	"06065"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	12	59629	Unreliable
	"Riverside County, CA"	"06065"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	"35-39 years"	"35-39"	12	65386	Unreliable
	"Riverside County, CA"	"06065"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	10	68784	Unreliable
	"Riverside County, CA"	"06065"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	29	73508	39.5
	"Riverside County, CA"	"06065"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	27	68673	39.3
	"Riverside County, CA"	"06065"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	31	67387	46.0
	"Riverside County, CA"	"06065"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	16	60724	Unreliable
	"Riverside County, CA"	"06065"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"25-29 years"	"25-29"	10	69297	Unreliable
	"Riverside County, CA"	"06065"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	"30-34 years"	"30-34"	14	65336	Unreliable
	"Riverside County, CA"	"06065"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	26	67785	38.4
	"Riverside County, CA"	"06065"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	36	73929	48.7
	"Riverside County, CA"	"06065"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	32	69308	46.2
	"Riverside County, CA"	"06065"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	25	68689	36.4
	"Riverside County, CA"	"06065"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	29	61794	46.9
	"Sacramento County, CA"	"06067"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	13	39442	Unreliable
	"Sacramento County, CA"	"06067"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	37789	Unreliable
	"Sacramento County, CA"	"06067"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	38344	Unreliable
	"Sacramento County, CA"	"06067"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	15	30836	Unreliable
	"Sacramento County, CA"	"06067"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	10	29805	Unreliable
	"Sacramento County, CA"	"06067"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	18	39149	Unreliable
	"Sacramento County, CA"	"06067"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	15	36538	Unreliable
	"Sacramento County, CA"	"06067"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	19	31533	Unreliable
	"San Bernardino County, CA"	"06071"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	"40-44 years"	"40-44"	12	52124	Unreliable
	"San Bernardino County, CA"	"06071"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	20	69731	28.7
	"San Bernardino County, CA"	"06071"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	10	61048	Unreliable
	"San Bernardino County, CA"	"06071"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	12	57016	Unreliable
	"San Bernardino County, CA"	"06071"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	15	52182	Unreliable
	"San Bernardino County, CA"	"06071"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	11	67015	Unreliable
	"San Bernardino County, CA"	"06071"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"25-29 years"	"25-29"	17	70555	Unreliable
	"San Bernardino County, CA"	"06071"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"30-34 years"	"30-34"	23	62155	37.0
	"San Bernardino County, CA"	"06071"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"35-39 years"	"35-39"	15	57984	Unreliable
	"San Bernardino County, CA"	"06071"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	"40-44 years"	"40-44"	14	52437	Unreliable
	"San Bernardino County, CA"	"06071"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	"20-24 years"	"20-24"	16	65110	Unreliable
